OBJECTID_1,Shape,OBJECTID,DEQ_NUMBER,SPRING_NAME,LATNAD83DD,LONGNAD83D,,,,OBJECTID,SITENO,SITENAME,CATEGORY,AGENCY,LATDD,LONGDD,
1459,,764,152-00059,SPRING 19 (CHEEK SPRING),36.67521069,-83.06790846,,,,70,370641082023801,14ES  9,SP,USGS,37.11149925,-82.0437409,
1171,,959,170-00260,PATRICK SPRINGS,36.677914,-80.182272,,,,71,370713082051001,14ES 13 HARRY PRESLEY SPG,SP,USGS,37.1203877,-82.0859655,
1559,,1521,195-00316,HARLEY SPRING,36.68600848,-82.13273036,,,,72,370815082035501,14FS  7 ELBERT WAMPLER SP,SP,USGS,37.1376103,-82.0651311,
1471,,788,152-00083,BLUE SPRINGS - LEE COUNTY PUBLIC SERVICE,36.68666106,-83.36552386,,,,73,370906082053201,14FS  5 BARON SPG,SP,USGS,37.1517768,-82.0920771,
1139,,702,144-00960,PAUL TUGGLE (SPRING),36.68791868,-79.96523618,,,,74,370947082041201,14FS  1,SP,USGS,37.16316605,-82.0698538,27
1473,,790,152-00085,CROCKETT SPRING,36.695,-83.1075,,,,75,371013082052201,14FS  8,SP,USGS,37.17038815,-82.0892994,28
1469,,786,152-00081,WYNN SPRING - TOWN OF JONESVILLE,36.69587261,-83.13800908,,,,76,371119080030401,30FS  1,SP,USGS,37.1759696,-80.0630942,29
1470,,787,152-00082,SPRING ABOVE WYNN SPRING,36.69671042,-83.13755414,,,,77,371208076301501,58FS 50,SP,USGS,37.20236715,-76.5038396,30
1491,,1306,184-00082,QUILLEN SPRINGS,36.69704359,-82.57709956,4,,,78,371211076315301,58FS 14,SP,USGS,37.20320078,-76.5310627,31
1472,,789,152-00084,BEECH SPRING,36.69898167,-83.23784028,,,,79,371213076320401,58FS 25,SP,USGS,37.20375637,-76.5341184,32
1503,,1318,184-00094,BUCK SPRING,36.69993567,-82.60051106,,,,80,371223076311501,58FS 27,SP,USGS,37.20653395,-76.5205068,33
1502,,1317,184-00093,BIG SPRING,36.70052815,-82.60052774,,,,81,371242076312101,58FS 28,SP,USGS,37.21181167,-76.5221735,34
1436,,1510,195-00305,WIDENER SPRING - TOWN OF CHILHOWEE,36.705233,-81.670928,,,,29,02054000,"BIG SPRINGS AT ELLISTON, VA",SP,USGS,37.2142992,-80.23309829,
1553,,1513,195-00308,HAMILTON ELEMENTARY SCHOOL SPRING,36.70638583,-82.30571244,,,,82,371252076351701,58FS  6,SP,USGS,37.21459019,-76.5877311,35
1488,,1303,184-00079,JOHNSON SPIRNG,36.70743348,-82.69904528,5,,,83,371305076300801,58FS 26,SP,USGS,37.2182002,-76.5018951,36
1143,,706,144-00973,REDDS GROCERY SERVICE STATION SPRING,36.711111,-79.801944,,,,84,371307076360401,58FS  7,SP,USGS,37.21875696,-76.600787,37
1562,,1524,195-00319,ROARING SPRING,36.71151441,-82.11180224,,,,85,371315076293601,59FS  2,SP,USGS,37.2209778,-76.4930059,38
1438,,1516,195-00311,COLE SPRING - CHILHOWEE WCSA,36.713461,-81.660964,,,,86,371321076312601,58FS 43,SP,USGS,37.22264487,-76.5235624,39
1554,,1515,195-00310,JONES SPRING - CHILHOWEE WCSA,36.71364398,-81.66516637,,,,87,371330076305501,58FS 17,SP,USGS,37.2251447,-76.514951,40
1412,,958,170-00259,ROUNDMEADOWS CAMPGROUND TES SPRING,36.713889,-80.418056,,,,,371331076303801,58FS 51,SP,USGS,37.22542244,-76.51022869,41
1556,,1518,195-00313,BLEVINS SPRING,36.714586,-81.679749,,,,89,371338076365601,58FS  9,SP,USGS,37.22736815,-76.6152319,42
1504,,1319,184-00095,HALE SPRING,36.71754139,-82.52000394,,,,90,371338076370101,58FS  8,SP,USGS,37.22736816,-76.61662088,43
1489,,1304,184-00080,MILL CREEK SPRINGS,36.72096472,-82.66126301,,,,91,371344076323801,58FS 29,SP,USGS,37.2290339,-76.543563,44
1497,,1312,184-00088,TAYLORTOWN BRANCH SPRING,36.72309861,-82.66079889,,,,35,03207240,"MINE DRAIN TO DISMAL CR NEAR JEWELL VALLEY, VA",SP,USGS,37.2309463,-81.8076144,45
1519,,1397,186-00815,JONES SPRING - TOWN OF CHILHOWEE,36.724004,-81.653451,,,,92,371355076311001,58FS 40,SP,USGS,37.2320891,-76.5191178,46
1496,,1311,184-00087,RYE COVE MEMORIAL SCHOOL SPRING,36.72947861,-82.68949361,,,,93,371402076313901,58FS 38,SP,USGS,37.23403364,-76.5271736,47
1520,,1398,186-00816,GROSS SPRING - TOWN OF CHILHOWEE,36.733448,-81.660118,,,,94,371403076313401,58FS 37,SP,USGS,37.23431139,-76.5257847,48
1406,,688,138-00229,HOUNDSHELL CAMPGROUND SPRING,36.737533,-81.368006,,,,95,371406076373901,57FS  1,SP,USGS,37.23514599,-76.6271767,49
1458,,784,152-00079,UPPER TRUROW SPRING - TOWN OF PENNINGTON,36.74032972,-83.0961875,,,,97,371409076324401,58FS 10,SP,USGS,37.23597828,-76.5452298,50
1429,,1407,186-00825,LEWIS SPRING,36.74680832,-81.53755338,,,,96,371409076324301,58FS 13,SP,USGS,37.23597828,-76.544952,51
1490,,1305,184-00081,UNNAMED OVERFLOW SPRING,36.74783099,-82.68460199,,,,98,371411076323601,58FS 11,SP,USGS,37.2365338,-76.5430075,52
1468,,785,152-00080,COLD SPRING - TOWN OF PENNINGTON,36.7514825,-83.01100444,,,,99,371413076345701,58FS  1,SP,USGS,37.23708984,-76.5821753,53
1549,,1507,195-00302,CEDARVILLE SPRING,36.75177921,-81.8567907,,,,100,371424076351301,58FS  3,SP,USGS,37.2401454,-76.5866199,54
1495,,1310,184-00086,UNNAMED SPRING,36.752455,-82.68902528,,,,36,03207290,"MINE DRAIN TO BURNT CHESTNUT CR NR KEEN MTN, VA",SP,USGS,37.24094559,-81.9006767,55
1142,,705,144-00972,HAIRSTON SPRING WATER SYSTEM SPRING,36.7525,-79.996944,,,,101,371434076321401,58FS 12,SP,USGS,37.2429225,-76.5368962,56
1400,,544,131-00120,NPS MABRY MILL,36.75458031,-80.40922942,6,,,102,371434076351401,58FS  2,SP,USGS,37.24292316,-76.5868977,57
1500,,1315,184-00091,CARTER SPRING,36.75599528,-82.65651139,,,,103,371436076340001,58FS  5,SP,USGS,37.24347845,-76.5663415,58
1499,,1314,184-00090,MARTHA CARTER SPRING,36.75655556,-82.66158889,,,,104,371450076325301,58FS  4,SP,USGS,37.24736705,-76.5477298,59
1498,,1313,184-00089,RICHMOND BRANCH SPRING,36.75801028,-82.65962972,,,,105,371522076340301,58GS  2,SP,USGS,37.256256,-76.5671748,60
1431,,1414,186-00832,STUART SPRING,36.76159873,-81.53430834,,,,106,371524076480801,56GS  3,SP,USGS,37.25659167,-76.801925,61
1501,,1316,184-00092,UNNAMED SPRING,36.76238972,-82.68220833,,,,34,03173500,"FRANCIS SPRING NEAR BANE, VA",SP,USGS,37.26234554,-80.6889555,62
1432,,1415,186-00833,BLEVIN SPRING ABOVE ROBERTS MILL,36.77303295,-81.43476177,,,,107,371611076354101,58GS  1,SP,USGS,37.26986726,-76.5943979,63
1425,,1388,186-00806,CURRIN SPRING,36.77383848,-81.41893851,,,,37,03207528,"MINE DRAIN TO BURNT POPLAR CR NR HARMAN JCT, VA",SP,USGS,37.30927639,-82.1845822,64
1424,,1387,186-00805,KEESLING SPRING,36.77398719,-81.41795379,7,,,108,372615077175701,52HS  1,SP,USGS,37.4377333,-77.2989974,65
1510,,1385,186-00803,TAYLOR SPRING,36.77421139,-81.57464444,,,,109,372634079355201,34HS  1,SP,USGS,37.44291524,-79.5978136,66
1423,,1386,186-00804,BIG SPRING AT SUGAR GROVE SCHOOL,36.77491154,-81.41528623,,,,110,372651079370401,34HS  2,SP,USGS,37.44763708,-79.6175363,67
1402,,546,131-00156,CHESTNUT SPRING - SLATEMONT SUBDIVISION,36.77500539,-80.41841706,,,,111,372741077054001,54HS  1,SP,USGS,37.4615352,-77.09413718,68
1433,,1416,186-00834,UNNAMED SPRING NEAR SUGAR GROVE POST OFFICE,36.77619401,-81.41425274,,,,112,372741077054002,54HS  2,SP,USGS,37.4615352,-77.09413718,69
1411,,957,170-00230,NPS ROCKY KNOB CABINS SPRING,36.77763525,-80.39089377,8,,,113,372741077054003,54HS  3,SP,USGS,37.4615352,-77.09413718,69
1550,,1508,195-00303,SPRING 33 (YELLOW SPRING),36.79157967,-81.8865195,,,,114,372805081184701, Wyo-0094S,SP,USGS,37.46817096,-81.3128788,
1474,,791,152-00086,WAKE SPRING,36.79513722,-82.84513139,,,,115,372812081171601, Mer-0112S,SP,USGS,37.47011559,-81.2876006,
1428,,1404,186-00822,BLUE SPRING #3,36.79656649,-81.32589159,,,,121,373351079285601,34HS  3,SP,USGS,37.48208138,-79.56420269,70
1426,,1402,186-00820,BLUE SPRING #1 (PENDRY'S BLUE SPRING),36.79677113,-81.32719315,,,,116,372930081322201, Wyo-0130S,SP,USGS,37.49178015,-81.53927178,
1427,,1403,186-00821,BLUE SPRING #2,36.79690438,-81.32665791,,,,117,373017081143601, Wyo-0095S,SP,USGS,37.50483799,-81.2431555,
1494,,1309,184-00085,SPRING 30 (BRICKEY SPRING),36.79843339,-82.59906166,,,,28,02037640,"FONTICELLO SPRING AT RICHMOND, VA",SP,USGS,37.51681368,-77.4608173,71
1440,,1548,198-00211,J.C. NEWLAND SPRING,36.80038795,-81.26570099,,,,118,373106081180701, Wyo-0096S,SP,USGS,37.5184485,-81.3017677,
1401,,545,131-00121,NPS GRASSY KNOLL,36.80457909,-80.36200183,9,,,119,373110079300401,34JS  1,SP,USGS,37.5195813,-79.5008688,72
1430,,1411,186-00829,UNNAMED SPRING ON BLUE SPRING CREEK,36.80815205,-81.28726058,,,,27,02037620,"WAYSIDE SPRING AT RICHMOND, VA",SP,USGS,37.5240359,-77.4838737,73
1511,,1389,186-00807,SPRING #2 RYE VALLEY WATER AUTHORITY,36.80896026,-81.40432355,,,,26,02037570,"BYRD PARK SPRING AT RICHMOND, VA",SP,USGS,37.5401467,-77.4774845,74
1513,,1391,186-00809,SPRING #4 RYE VALLEY WATER AUTHORITY,36.809735,-81.40163333,,,,120,373350081242501, Wyo-0211S,SP,USGS,37.56400299,-81.4067695,
1517,,1395,186-00813,TOWN OF MARION SPRING #4,36.8097719,-81.46490017,,,,122,373446081254101, Wyo-0212S,SP,USGS,37.57955828,-81.427881,
1516,,1394,186-00812,TOWN OF MARION SPRING #3,36.80978384,-81.46489814,,,,123,373450081254701, Wyo-0213S,SP,USGS,37.58066937,-81.4295477,
1515,,1393,186-00811,TOWN OF MARION SPRING #2,36.80998651,-81.46475806,,,,124,373500081253201, Wyo-0214S,SP,USGS,37.58344717,-81.425381,
1512,,1390,186-00808,SPRING #3 RYE VALLEY WATER AUTHORITY,36.81002867,-81.40110097,,,,125,373514081252201, Wyo-0215S,SP,USGS,37.58733605,-81.4226032,
1514,,1392,186-00810,SPRING #1 RYE VALLEY WATER AUTHORITY,36.81003691,-81.40796959,,,,126,373516081251701, Wyo-0216S,SP,USGS,37.5878916,-81.4212143,
1508,,1383,186-00054,TOWN OF MARION SPRING #1,36.81045722,-81.46470639,,,,127,373518081252101, Wyo-0217S,SP,USGS,37.58844716,-81.4223254,
1555,,1517,195-00312,WOLFE SPRING,36.813889,-81.863822,,,,129,373519081252101, Wyo-0218S,SP,USGS,37.5887249,-81.4223255,
1492,,1307,184-00083,STRAIGHT FORK SPRING,36.81732101,-82.62404598,10,,,128,373519081192101, Wyo-0101S,SP,USGS,37.5887257,-81.322324,
1507,,1322,184-00098,SULPHUR SPRING,36.82204916,-82.53404231,,,,130,373521081245501, Wyo-0219S,SP,USGS,37.58928054,-81.4151031,
1574,,763,152-00058,MINE DRAIN TO BAILEYS TRAIL,36.82814498,-83.07794651,11,,,131,373522081245901, Wyo-0220S,SP,USGS,37.5895583,-81.4162143,
1567,,1544,198-00207,CEDAR SPRING,36.83260034,-81.29221408,,,,132,373525081205401, Wyo-0221S,SP,USGS,37.59039218,-81.3481577,
1397,,541,131-00027,TROY SOWERS (SPRING),36.83811625,-80.46274447,,,,133,373526081253301, Wyo-0222S,SP,USGS,37.59066934,-81.4256588,
1506,,1321,184-00097,SINKING SPRING,36.84231684,-82.43475614,,,,135,373532081244901, Wyo-0226S,SP,USGS,37.59233609,-81.4134365,
1526,,1408,186-00826,H.L. ATKINS SPRING,36.84595476,-81.42457993,,,,134,373532081243501, Wyo-0225S,SP,USGS,37.5923361,-81.4095475,
1072,,1541,198-00203,NEFF-LITZ SPRING,36.84734145,-81.27343387,,,,136,373547081243501, Wyo-0227S,SP,USGS,37.59650277,-81.4095475,
1483,,1298,183-00132,WHITE SPRING - SP 2 RUSSEL COUNTY SERVICE AUTHORITY - CASTLEWOOD - SEVEN SPRINGS,36.850089,-82.283842,,,,137,373552081244001, Wyo-0228S,SP,USGS,37.5978916,-81.4109365,
1398,,542,131-00048,WILFORD F HUFF (SPRING),36.85103513,-80.35936462,,,,24,02020000,"KARNES SPRING NEAR BUCHANAN, VA",SP,USGS,37.59874426,-79.6794852,
1482,,1297,183-00131,SARGENT SPRING - SP 1 RUSSEL COUNTY SERVICE AUTHORITY - CASTLEWOOD - SEVEN SPRINGS,36.851575,-82.282081,,,,138,373557081244001, Wyo-0229S,SP,USGS,37.5992805,-81.4109365,
1551,,1511,195-00306,WITT SPRING - TOWN OF CHILHOWEE,36.85333778,-81.80244306,,,,139,373607081203901, Wyo-0230S,SP,USGS,37.6020588,-81.343991,
1493,,1308,184-00084,MINE DRAIN TO DRY CREEK,36.85343458,-82.48431928,,,,140,373618081250501, Wyo-0231S,SP,USGS,37.60511376,-81.417881,
1529,,1412,186-00830,RICH VALLEY QUARRY SPRING,36.85344951,-81.73630867,,,,141,373621081245801, Wyo-0232S,SP,USGS,37.6059471,-81.41593659,
1486,,1301,183-00135,CULBERTSON SPRING - SP 5 RUSSELL COUNTY SERVICE AUTHORITY - CASTLEWOOD - SEVEN SPRINGS,36.85390796,-82.28660709,,,,142,373629081211001, Wyo-0233S,SP,USGS,37.6081698,-81.3526023,
1079,,1550,198-00213,FAIRVIEW SPRING #1,36.85556101,-81.27657256,,,,143,373636081212201, Wyo-0234S,SP,USGS,37.6101142,-81.3559357,
1080,,1551,198-00214,FAIRVIEW SPRING #2,36.85578587,-81.27694019,,,,144,373637081212401, Wyo-0235S,SP,USGS,37.610392,-81.3564913,
1552,,1512,195-00307,SMOKEY RUN SPRING - TOWN OF CHILHOWEE,36.85593072,-81.7845751,,,,145,373641081212401, Wyo-0236S,SP,USGS,37.6115031,-81.3564913,
1566,,1537,197-00711,BIG SPRING,36.85627842,-82.72998515,,,,147,373645081210101, Wyo-0238S,SP,USGS,37.61261426,-81.3501023,
1081,,1552,198-00215,FAIRVIEW SPRING #3,36.85734204,-81.27687237,,,,146,373645081201201, Wyo-0237S,SP,USGS,37.61261437,-81.336491,
1522,,1400,186-00818,CRYSTAL SPRINGS,36.860278,-81.591667,,,,148,373649081204301, Wyo-0240S,SP,USGS,37.6137254,-81.3451023,
1477,,1292,183-00126,WILL CUMBOLD SPRING,36.86388889,-82.11388889,,,,150,373650081204601, Wyo-0242S,SP,USGS,37.61400317,-81.3459356,
1480,,1295,183-00129,SEVIN SPRINGS - SP 3 RUSSEL COUNTY SERVICE AUTHORITY - CASTLEWOOD,36.86517404,-82.24952579,,,,149,373650081204301, Wyo-0241S,SP,USGS,37.61400318,-81.3451023,
1509,,1384,186-00055,CORNETT SPRING,36.86884976,-81.39139403,,,,151,373739081190101, Ral-0149S,SP,USGS,37.62761444,-81.3167686,
1518,,1396,186-00814,PALMER SPRINGS,36.86916389,-81.763525,,,,152,373805081210901, Wyo-0247S,SP,USGS,37.6348363,-81.3523247,
1073,,1542,198-00205,PHILLIPI SPRING,36.86960929,-81.27105919,,,,154,374032081295601, Wyo-0250S,SP,USGS,37.6756682,-81.49871609,
1527,,1409,186-00827,UNNAMED SPRING NEAR TRAILER PARK,36.8718763,-81.40726391,,,,153,374032081295501, Wyo-0249S,SP,USGS,37.6756682,-81.4984383,
1075,,1545,198-00208,WYRICK SPRING,36.87263835,-81.19758419,,,,155,374214081194501, Ral-0146S,SP,USGS,37.70400278,-81.3289915,
1485,,1300,183-00134,BIG SPRING NEAR TEMPLE HILL,36.87855055,-82.27775103,,,,156,374257081195501, Ral-0147S,SP,USGS,37.7159471,-81.3317694,
1524,,1405,186-00823,BUCKEYE SPRING,36.88277891,-81.74027818,,,,157,374354080305301, Grb-0300s,SP,USGS,37.72928056,-80.51463889,
1528,,1410,186-00828,UNNAMED SPRING (SCHULER?),36.88312141,-81.37984663,,,,158,374424081263101, Wyo-0136S,SP,USGS,37.7401127,-81.4417713,
1530,,1413,186-00831,CARTER SPRING,36.88320067,-81.66965395,,,,159,374512081340701, Wyo-0139(Kimbell Water Works Spring),SP,USGS,37.7534444,-81.5684415,
1565,,1530,197-00704,CORDER BRANCH SPRING,36.88565709,-82.49709768,12,,,160,374525080324501, Grb-0213S,SP,USGS,37.7570655,-80.5456325,
1078,,1549,198-00212,HENDRICKS SPRING,36.89303361,-81.26467951,,,,161,374810080173001, Grb-0219(Fish Hatchery Spring),SP,USGS,37.80289954,-80.2914591,
1115,,386,112-00228,MATTHEWS SPRING 2,36.89468143,-77.75421148,,,,162,375027079093001,37LS  1,SP,USGS,37.84096886,-79.1580854,75
1116,,387,112-00229,MATTHEWS SPRING 3,36.89472819,-77.75544036,,,,25,02022000,"BIG SPRING AT KERRS CREEK, VA",SP,USGS,37.84735286,-79.4747617,76
1114,,385,112-00227,MATTHEWS SPRING 1,36.89473081,-77.75403659,,,,163,375203079085501,37LS  2,SP,USGS,37.8676354,-79.14836288,77
1564,,1529,197-00703,OSBORN ROCK SPRING,36.89621126,-82.584878,13,,,164,375300080331600, Grb-0238(Sinking Creek at Alta Spring),SP,USGS,37.8834531,-80.55424689,
