site_number,nitrate,GPM,state
394226077564201,,,MD
394227077515401,,,MD
394227077531701,,,MD
394227078113901,,,MD
394227078525301,,,MD
394227078525302,,,MD
394228077470001,,,MD
394228077515301,,,MD
394228077535901,,,MD
394231077510401,,,MD
394232077542201,,,MD
394233077562701,,,MD
394236076404001,,,MD
394237078163501,,,MD
394241075582001,,,MD
394242077532201,,,MD
394244077464901,,,MD
394245078161101,,,MD
394247078121701,,,MD
394248078115201,,,MD
394250077404401,,,MD
394253077304101,,,MD
394253077405001,,,MD
394253078523701,,,MD
394254078175201,,,MD
394255077404701,,,MD
394256078005301,,,MD
394257076064301,,,MD
394259076413901,,,MD
394303077422701,,,MD
394303077423101,,,MD
394304077423301,,,MD
394305077561401,,,MD
394305078115401,,,MD
394306076380801,,,MD
394306078404701,,,MD
394306078540901,,,MD
394307076510201,,,MD
394310078124301,0.26,,MD
394310078124701,,,MD
394311078403001,,,MD
394312076413901,,,MD
394315078052501,,,MD
394317078161201,,,MD
394318078531201,,,MD
385619077063601,1.6,,DC
1615515,,,VA
1615522,,,VA
1616075,,430.8768,VA
1620817,,,VA
1621014,0.074,,VA
1621377,,,VA
1622500,,,VA
162906055,0.48,,VA
1629990,,,VA
1632500,,2513.448,VA
1632802,6.215,,VA
1632835,1.63,,VA
163285551,4.68,,VA
163285591,0.298,,VA
163306620,,,VA
163306650,,,VA
1635000,,,VA
1635070,,,VA
1636310,3.1,,VA
1636315,3.2,,VA
1636320,0.1,,VA
1636330,3.5,,VA
1636340,6,,VA
1643610,,1346.49,VA
2010000,,,VA
2010500,,,VA
2011000,,,VA
2011950,,628.362,VA
2015500,,1032.309,VA
2020000,,1346.49,VA
2022000,,2199.267,VA
2037570,,,VA
2037620,3.2,,VA
2037640,5.5,,VA
371208076301501,0.579,,VA
371211076315301,0.033,,VA
371213076320401,0.04,,VA
371223076311501,0.055,,VA
371242076312101,1.28,,VA
371252076351701,,,VA
371305076300801,0.224,,VA
371307076360401,,,VA
371315076293601,0.009,,VA
371321076312601,0.286,,VA
371330076305501,0.697,,VA
371331076303801,0.43,,VA
371338076365601,,,VA
371338076370101,,,VA
371344076323801,0.005,,VA
371355076310101,,,VA
371355076311001,0.026,,VA
371402076313901,0.051,,VA
371403076313401,0.051,,VA
371406076373901,,,VA
371409076324301,,,VA
371409076324401,,,VA
371411076323601,,,VA
371413076345701,,,VA
371424076351301,,,VA
371434076321401,,,VA
371434076351401,,,VA
371436076340001,,,VA
371450076325301,,,VA
371522076340301,,,VA
371524076480801,1.14,,VA
371539076452501,,,VA
371611076354101,,,VA
372615077175701,2.73,,VA
372741077054001,,,VA
372741077054002,,,VA
372741077054003,,,VA
372934077035801,,,VA
375027079093001,0.75,,VA
375055079284001,,,VA
375203079085501,1.3,,VA
375306079001401,0.17,,VA
375524078575801,0.125,,VA
375603078542101,0.4,,VA
375652078545701,0.085,,VA
375807077322201,0.057,,VA
375810077320901,0.723,,VA
375812078535201,0.01,,VA
380056078095201,,,VA
380124077524801,0.34,,VA
380140077350301,0.31,,VA
380255079195601,0.06,,VA
380311078555201,0.515,,VA
380313079465201,,,VA
380331078533301,,,VA
380336078533401,,,VA
380516077211801,,,VA
380517077211601,,,VA
380533078531001,2.7,,VA
380553077083901,,,VA
380555077085101,,,VA
380611079191201,,,VA
380631077084901,,,VA
380631077084902,,,VA
380653077121201,,,VA
380726077120501,,,VA
380728077120101,,,VA
380728077120401,,,VA
380819077120401,,,VA
380925079051501,,,VA
381006077164201,,,VA
381009077164101,,,VA
381014077165901,,,VA
381019077164201,,,VA
381108076551101,3.95,,VA
381138079241901,,,VA
381152077171301,,,VA
381158077172301,,,VA
381158077172601,,,VA
381158077172602,,,VA
381205077172101,,,VA
381225079021001,,,VA
381315079065201,,,VA
381822078551801,,,VA
382229078014601,2.6,,VA
382402078501301,,,VA
382415078361101,,,VA
382639078370601,,,VA
382902077503001,0.02,,VA
382948078575301,4.11,,VA
383136078563401,3.55,,VA
383149078570401,5.97,,VA
383216078572801,2.24,,VA
